x,y,human20_585
18.54,102.63,23.616116
18.56,102.87,25.737307
18.57,103.11,25.779139
18.58,103.35,25.791092
18.59,103.59,24.531313
18.6,103.83,24.22079
18.6,104.07,25.323698
18.61,104.31,25.372118
18.62,104.55,26.088305
18.62,104.79,25.756302
18.63,105.03,25.539497
18.63,105.27,23.989712
18.64,105.51,24.345945
18.64,105.75,25.561123
18.64,105.99,26.008688
18.65,106.23,27.478199
18.65,106.47,28.8458
18.65,106.71,30.107641
18.65,106.95,31.18398
18.65,107.19,31.998865
18.64,107.43,32.319622
18.64,107.67,32.48589
18.64,107.91,32.49836
18.64,108.15,32.594963
18.63,108.39,32.627884
18.63,108.63,33.40093
18.62,108.87,30.988192
18.62,109.11,31.016726
18.61,109.35,30.941263
18.6,109.58,31.267735
18.59,109.82,30.861849
18.58,110.06,30.573257
18.57,110.3,31.702095
18.56,110.54,30.86123
18.55,110.78,30.525337
18.54,111.02,30.307714
18.53,111.26,30.08964
18.52,111.5,29.836071
18.5,111.74,29.456524
18.49,111.98,29.149403
18.47,112.22,28.838507
18.46,112.46,28.668308
18.44,112.69,28.528742
18.42,112.93,28.364483
18.41,113.17,28.13027
18.39,113.41,27.923481
18.37,113.65,27.82377
18.35,113.89,27.612759
18.33,114.12,27.355772
18.31,114.36,27.151722
18.29,114.6,26.910414
18.26,114.84,26.624475
18.24,115.08,26.362337
18.22,115.31,26.083714
18.19,115.55,25.747383
18.17,115.79,25.455273
18.14,116.02,25.2045
18.12,116.26,25.034193
18.09,116.5,24.910131
18.06,116.73,24.815926
18.03,116.97,24.800484
18,117.21,24.810303
17.97,117.44,24.800484
17.94,117.68,24.880907
17.91,117.91,24.989645
17.88,118.15,25.120132
17.85,118.38,25.197037
17.82,118.62,25.32678
17.78,118.85,25.493969
17.75,119.09,25.630194
17.71,119.32,25.687304
17.68,119.55,25.7598
17.64,119.79,25.609774
17.6,120.02,25.155403
17.57,120.26,24.855469
17.53,120.49,23.166153
17.49,120.72,21.160702
17.45,120.95,21.926718
17.41,121.19,22.538921
17.37,121.42,21.396605
17.33,121.65,21.500937
17.29,121.88,21.61619
17.24,122.11,21.650965
17.2,122.34,22.131596
17.16,122.58,23.521362
17.11,122.81,24.33599
17.07,123.04,24.77036
17.02,123.27,24.622368
16.98,123.5,24.498987
16.93,123.73,24.41824
16.88,123.95,24.293493
16.83,124.18,24.037142
16.79,124.41,23.735529
16.74,124.64,23.231873
16.69,124.87,23.009398
16.64,125.1,22.89837
16.59,125.32,22.692667
16.53,125.55,22.323854
15.15,82.02,32.630707
15.22,82.24,33.16223
15.28,82.46,33.227097
15.35,82.67,33.048153
15.42,82.89,32.822994
15.48,83.11,32.61903
15.54,83.33,32.414093
15.61,83.56,32.289085
15.67,83.78,32.27993
15.73,84,32.274746
15.8,84.22,32.235977
15.86,84.44,32.221275
15.92,84.66,32.23192
15.98,84.89,32.296566
16.04,85.11,32.34396
16.1,85.33,32.388462
16.16,85.56,32.3532
16.22,85.78,32.314877
16.27,86.01,32.2341
16.33,86.23,32.16648
16.39,86.46,32.096848
16.44,86.68,32.0276
16.5,86.91,31.95975
16.55,87.14,31.930344
16.61,87.36,31.905231
16.66,87.59,31.87574
16.71,87.82,31.827042
16.77,88.04,31.776117
16.82,88.27,31.718607
16.87,88.5,31.649176
16.92,88.73,31.52214
16.97,88.96,31.402174
17.02,89.19,31.249348
17.07,89.42,31.086359
17.11,89.65,30.910145
17.16,89.88,30.732374
17.21,90.11,30.514946
17.26,90.34,30.302048
17.3,90.57,30.102892
17.35,90.8,29.904764
17.39,91.03,29.687529
17.43,91.26,29.460733
17.48,91.49,29.197203
17.52,91.72,28.945992
17.56,91.96,28.675537
17.6,92.19,28.426535
17.64,92.42,28.17608
17.68,92.66,27.927423
17.72,92.89,27.675524
17.76,93.12,27.453306
17.8,93.36,27.246065
17.84,93.59,27.114841
17.87,93.82,26.983086
17.91,94.06,27.010656
17.95,94.29,26.82921
17.98,94.53,25.515144
18.01,94.76,25.753988
18.05,95,25.781605
18.08,95.24,24.12462
18.11,95.47,23.93606
18.14,95.71,23.802963
18.18,95.94,24.956018
18.21,96.18,23.974146
18.24,96.42,23.486553
18.26,96.65,22.816116
18.29,96.89,23.562763
18.32,97.13,24.849031
18.35,97.36,24.57542
18.37,97.6,23.780933
18.4,97.84,24.419724
18.42,98.08,24.480663
18.45,98.31,24.351107
18.47,98.55,23.97686
18.5,98.79,23.328884
18.52,99.03,23.08798
18.54,99.27,23.892319
18.56,99.51,24.277458
18.58,99.75,24.50571
18.6,99.98,24.084589
18.62,100.22,24.059673
18.64,100.46,24.136229
18.66,100.7,23.902603
18.67,100.94,24.036531
18.69,101.18,24.870363
18.7,101.42,24.661036
18.72,101.66,23.663816
18.73,101.9,23.271145
18.75,102.14,23.13699
18.76,102.38,23.557226
18.77,102.62,24.145758
18.78,102.86,25.23109
18.79,103.1,26.044548
18.8,103.34,25.547165
18.81,103.58,23.852022
18.82,103.82,24.539864
18.83,104.06,25.560596
18.84,104.3,25.26803
18.84,104.54,25.36
18.85,104.78,25.190733
18.86,105.02,24.251759
18.86,105.26,23.413708
18.87,105.5,23.844002
18.87,105.74,24.191473
18.87,105.98,25.553953
18.87,106.22,27.060595
18.87,106.47,28.404583
18.87,106.71,29.63826
18.87,106.95,30.597523
18.87,107.19,31.348034
18.87,107.43,31.972397
18.87,107.67,32.285076
18.87,107.91,32.424305
18.86,108.15,32.599594
18.86,108.39,32.91222
